Statnett saksnr.,Tilko saksnr.,Stasjon for tilknytning i transmisjonsnettet,Områdeplan,Prisområde,Statnetts kunde,Sluttkunde,Næringstype,Dato for når Statnett reserverte kapasitet til kunden,Dato - Planlagt tiknytning,Kunde og tilknytningsansvarlig,Reservert kapasitet (MW)
22/00701,ELB83,Nedre Røssåga KRA/TRA,Helgeland og Salten,NO4,Linea AS,GreenH,Hydrogen/ammoniakk,2024-02-09,2027-03-31,Ingvild Grøtterud Birkeland,20
22/00708,ELB1498,Adamselv KRA/TRA,Nord,NO4,Area Nett AS,Grieg Seafood,Oppdrettsnæring,2023-03-23,2028-03-31,Lars Erik Johansen,8
22/00709,ELB635,Stord TRA,Bergen og Haugalandet,NO2,Fagne AS,Alsaker Fjordbruk,Oppdrettsnæring,2020-12-10,2027-12-29,Magnus Øverby Tennøe,8
22/00713,ELB77,Kolsvik KRA/TRA,Helgeland og Salten,NO4,Linea AS,Sømna Biogaass,Industri,2024-02-09,2027-03-30,Ingvild Grøtterud Birkeland,2
22/00716,ELB70,Nedre Røssåga KRA/TRA,Helgeland og Salten,NO4,Linea AS,Nordland Settefisk,Oppdrettsnæring,2025-12-19,2029-06-29,Ingvild Grøtterud Birkeland,2.5
22/00730,,Dale TRA,Bergen og Haugalandet,NO5,BKK AS,Statens Vegvesen,Transport,2022-11-10,2026-04-01,Magnus Øverby Tennøe,9
22/00754,ELB38,Mestervik,Nord,NO4,Arva AS,Neptun Tromsø AS,Hydrogen/ammoniakk,2025-10-08,2028-03-31,Lars Erik Johansen,30
23/00821,ELB122,Frogner TRA,"Oslo, Akershus og Østfold",NO1,Elvia As,Bulk Infrastructure Group AS,Datasenter,2025-04-28,2029-06-29,Karoline Josefine Gudbjerg,12
23/00866,ELB761,Narvik TRA,Nord,NO4,Noranett AS,Plug Nord AS,Transport,2025-10-08,2026-09-02,Lars Erik Johansen,12
23/00867,ELB2027,Ålfoten TRA,Sogn og Sunnmøre,NO3,Linja AS,Svelgen Property AS,Datasenter,2023-03-08,2026-03-30,Hans Olav Ween,4.8
23/00868,ELB1995,Moskog TRA,Sogn og Sunnmøre,NO3,Linja AS,EWOS AS,Oppdrettsnæring,2026-05-20,2026-01-01,Hans Olav Ween,3
23/00893,ELB1600,Skaidi TRA,Nord,NO4,Lucerna AS,Cermaq,Oppdrettsnæring,2023-03-30,2026-08-30,Lars Erik Johansen,5
23/00896,ELB1893,Hof TRA,Telemark og Vestfold,NO2,Lede AS,KOPSTAD GODSTERMINAL AS,Transport,2023-09-24,2027-03-30,Geir Kåsa,8.8
23/00924,ELB585,Midtfjellet KRA/TRA,Bergen og Haugalandet,NO2,Fagne AS,Bolaks AS,Oppdrettsnæring,2023-11-23,2027-12-30,Magnus Øverby Tennøe,6.9
23/00961,ELB74,Nedre Røssåga KRA/TRA,Helgeland og Salten,NO4,Linea AS,Fishbase Infrastructure,Oppdrettsnæring,2024-02-09,2030-03-30,Ingvild Grøtterud Birkeland,8.7
23/00999,ELB236,Hasle TRA,"Oslo, Akershus og Østfold",NO1,Elvia As,Kronos Titan AS,Industri,2025-05-12,2030-12-30,Karoline Josefine Gudbjerg,30
23/01030,ELB466,Bjerkreim TRA,Sør Rogaland og Agder,NO2,Lnett AS,Green Mountain AS,Datasenter,2024-06-16,2026-12-31,Arne Utne,100
23/01042,ELB133,Ulven TRA,"Oslo, Akershus og Østfold",NO1,Elvia As,Skygard 1 AS,Datasenter,2024-11-18,2029-12-30,Karoline Josefine Gudbjerg,24.2
23/01043,ELB2042,Moskog TRA,Sogn og Sunnmøre,NO3,Linja AS,Havlandet Matfisk AS,Oppdrettsnæring,2023-09-21,2027-11-29,Hans Olav Ween,15
23/01051,ELB2928,Leirdøla (LEX) TRA,Sogn og Sunnmøre,NO5,Sygnir AS,Kitebrook Infrastructure AS,Datasenter,2026-05-28,2029-12-30,Hans Olav Ween,100
23/01056,ELB1542,Kollsnes KRA/TRA,Bergen og Haugalandet,NO5,Equinor Asa,EQUINOR ASA,Petroleum,2019-04-19,2027-06-30,Magnus Øverby Tennøe,105
23/01062,ELB110,Frogner TRA,"Oslo, Akershus og Østfold",NO1,Elvia As,SI OSL 03.2 AS,Datasenter,2025-04-28,2033-06-29,Karoline Josefine Gudbjerg,25
23/01063,ELB128,Tegneby TRA,"Oslo, Akershus og Østfold",NO1,Elvia As,SI OSL 04 AS,Datasenter,2026-06-26,2033-12-30,Karoline Josefine Gudbjerg,44
23/01076,,Alta Transformatorstasjon TRA,Nord,NO4,Alut As,Alta Havn,Transport,2025-11-20,2027-06-24,Lars Erik Johansen,18
23/01093,ELB20,Varangerbotn TRA,Nord,NO4,Barents Nett As,Aker Clean Hydrogen og Varanger Kraft,Hydrogen/ammoniakk,2023-10-30,2030-01-30,Lars Erik Johansen,120
23/01096,ELB1354,Moskog TRA,Sogn og Sunnmøre,NO3,Linja AS,Bue Salmon AS,Oppdrettsnæring,2026-01-12,2028-08-30,Hans Olav Ween,10
23/01109,ELB1003,Fræna TRA,Midt,NO3,Elinett AS,Plug Romsdal AS,Transport,2023-12-06,2026-11-30,Hans Olav Ween,12
23/01141,ELB1343,Høyanger TRA,Sogn og Sunnmøre,NO3,Linja AS,Vest Resirkulering,Industri,2025-11-16,2027-03-30,Hans Olav Ween,5
23/01144,,Høyanger TRA,Sogn og Sunnmøre,NO3,Linja AS,Hydro Havrand,Hydrogen/ammoniakk,2025-09-24,2025-10-14,Hans Olav Ween,5.8
23/01145,ELB2921,Aurland 2 KRA/TRA,Hallingdal og Ringerike,NO5,Sygnir AS,Aurland Hamnevesen,Transport,2025-09-04,2026-04-30,Hans Olav Ween,16
23/01153,ELB994,Fræna TRA,Midt,NO3,Elinett AS,Omya Hustadmarmor AS,Industri,2018-10-15,2031-12-31,Hans Olav Ween,5
23/01154,ELB995,Fræna TRA,Midt,NO3,Elinett AS,Salmon Evolution AS,Oppdrettsnæring,2020-03-11,2027-12-31,Hans Olav Ween,12
23/01196,ELB2807,Høyanger TRA,Sogn og Sunnmøre,NO3,Linja AS,Hydro Aluminium AS,Industri,2025-11-16,2031-12-30,Hans Olav Ween,13
23/01198,ELB2806,Høyanger TRA,Sogn og Sunnmøre,NO3,Linja AS,Hydro Aluminium AS,Industri,2025-11-16,2026-01-29,Hans Olav Ween,7
23/01210,ELB237,Hasle TRA,"Oslo, Akershus og Østfold",NO1,Elvia As,Frevar KF,Industri,2025-05-12,2030-12-30,Karoline Josefine Gudbjerg,8
23/01213,ELB328,Nedre Vinstra KRA/TRA,Innlandet,NO1,Vevig As,Driva Aquaculture AS,Industri,2024-06-27,2027-06-29,Karoline Josefine Gudbjerg,6.5
23/01219,ELB756,Niingen KRA/TRA,Nord,NO4,Noranett AS,Bogen Aqua,Oppdrettsnæring,2026-01-18,2028-01-30,Lars Erik Johansen,5
23/01232,ELB121,Ulven TRA,"Oslo, Akershus og Østfold",NO1,Elvia As,Hafslund Celsio AS,Annet forbruk,2024-11-18,2030-06-29,Karoline Josefine Gudbjerg,7
23/01237,ELB753,Kvitnes TRA,Nord,NO4,Noranett AS,Denvo Wolffish Norway AS,Oppdrettsnæring,2026-01-18,2026-08-31,Lars Erik Johansen,4
23/01246,ELB1764,Grenland TRA,Telemark og Vestfold,NO2,Herøya Nett As,LanzaTech,Industri,2025-04-10,2027-12-31,Geir Kåsa,6
23/01250,ELB1848,Brokke KRA/TRA,Sør Rogaland og Agder,NO2,Lede AS,EdgeConneX MCN Norway AS,Datasenter,2024-10-29,2026-05-31,Geir Kåsa,140
23/01257,ELB462,Fagrafjell TRA,Sør Rogaland og Agder,NO2,Lnett AS,Green Mountain,Datasenter,2024-09-12,2031-12-31,Arne Utne,300
23/01263,ELB113,Smestad TRA,"Oslo, Akershus og Østfold",NO1,Elvia As,Oslo Havn KF,Transport,2024-10-23,2026-06-29,Karoline Josefine Gudbjerg,14
23/01304,ELB1054,Ringerike TRA,Hallingdal og Ringerike,NO1,Glitre Nett AS,Odin Green DC AS,Datasenter,2024-09-25,2026-09-29,Heidi Hellesvik Ringstad,15
23/01351,ELB682,Kristiansand TRA,Sør Rogaland og Agder,NO2,Glitre Nett AS,Bulk,Datasenter,2026-05-21,2026-09-30,Arne Utne,25
23/01362,ELB48,Mestervik,Nord,NO4,Arva AS,Fjuel Tromsø AS,Transport,2026-02-22,2026-03-31,Lars Erik Johansen,5
23/01370,ELB1056,Ringerike TRA,Hallingdal og Ringerike,NO1,Glitre Nett AS,Green Mountain AS,Datasenter,2024-09-25,2027-09-29,Heidi Hellesvik Ringstad,18.5
23/01371,ELB291,Frogner TRA,"Oslo, Akershus og Østfold",NO1,Elvia As,Ruter AS,Transport,2025-04-25,2028-09-29,Karoline Josefine Gudbjerg,6
23/01372,ELB112,Frogner TRA,"Oslo, Akershus og Østfold",NO1,Elvia As,SI OSL 03.2 AS,Datasenter,2025-10-13,2033-06-29,Karoline Josefine Gudbjerg,32
23/01400,ELB148,Frogner TRA,"Oslo, Akershus og Østfold",NO1,Elvia As,atNorth AS,Datasenter,2025-10-13,2028-03-30,Karoline Josefine Gudbjerg,50
23/01412,ELB740,Kollsnes KRA/TRA,Bergen og Haugalandet,NO5,BKK AS,H2 Production AS,Hydrogen/ammoniakk,2024-03-19,2028-12-31,Magnus Øverby Tennøe,9
23/01413,ELB732,Lindås transformatorstasjon TRA,Bergen og Haugalandet,NO5,BKK AS,SkiGA AS Org. Nr. 929 597311,Hydrogen/ammoniakk,2024-03-19,2028-06-30,Magnus Øverby Tennøe,130
23/01414,ELB735,Lindås transformatorstasjon TRA,Bergen og Haugalandet,NO5,BKK AS,Mongstad Eiendomsselskap,Oppdrettsnæring,2024-03-19,2028-06-30,Magnus Øverby Tennøe,40
23/01415,ELB734,Kollsnes KRA/TRA,Bergen og Haugalandet,NO5,BKK AS,Carbon Removal,Industri,2024-03-19,2029-09-30,Magnus Øverby Tennøe,74
23/01416,ELB739,Dale TRA,Bergen og Haugalandet,NO5,BKK AS,Dale Fabrikker,Industri,2023-12-11,2027-01-01,Magnus Øverby Tennøe,20
23/01418,ELB738,Kollsnes KRA/TRA,Bergen og Haugalandet,NO5,BKK AS,Northern Lights trinn 2,Industri,2024-03-19,2028-12-31,Magnus Øverby Tennøe,20
23/01421,ELB457,Fagrafjell TRA,Sør Rogaland og Agder,NO2,Lnett AS,Norwegian Hydrogen,Hydrogen/ammoniakk,2024-06-27,2027-12-30,Arne Utne,20
23/01430,ELB2201,Rana KRA/TRA,Helgeland og Salten,NO4,Linea AS,SMA Mineal,Industri,2025-08-10,2026-12-30,Ingvild Grøtterud Birkeland,60
24/01490,,Furuset TRA,"Oslo, Akershus og Østfold",NO1,Elvia As,Nye Aker sykehus,Annet forbruk,2024-02-12,2027-03-30,Karoline Josefine Gudbjerg,7.8
24/01491,,Sogn TRA,"Oslo, Akershus og Østfold",NO1,Elvia As,Nye Rikshopistalet sykehus,Annet forbruk,2024-02-12,2030-03-30,Karoline Josefine Gudbjerg,9
24/01492,ELB1896,Bamble TRA,Telemark og Vestfold,NO2,Lede AS,Recuro AS,Industri,2025-04-10,2029-06-29,Geir Kåsa,8
24/01501,ELB478,Bærheim TRA,Sør Rogaland og Agder,NO2,Lnett AS,ASP Eiendom AS,Datasenter,2024-06-27,2026-06-30,Arne Utne,3
24/01503,ELB567,Fagrafjell TRA,Sør Rogaland og Agder,NO2,Lnett AS,Green Horizon AS,Datasenter,2024-06-27,2026-12-31,Arne Utne,48
24/01504,ELB455,Bjerkreim TRA,Sør Rogaland og Agder,NO2,Lnett AS,GreenBox™ Data Center Solutions by Green Horizon AS,Datasenter,2024-06-27,2027-12-31,Arne Utne,36
24/01506,ELB1715,Åfjord TRA,Midt,NO3,Tensio AS,FOSSEFALL AS,Datasenter,2025-11-14,2026-01-30,Christopher Aarnseth Ruud,2.2
24/01507,ELB1169,Namsos TRA,Midt,NO3,Tensio AS,ECO Seafood AS,Oppdrettsnæring,2025-11-01,2026-08-31,Christopher Aarnseth Ruud,4.4
24/01509,ELB106,Hamang TRA,"Oslo, Akershus og Østfold",NO1,Elvia As,Oslofjord Varme AS,Annet forbruk,2024-10-16,2026-12-30,Karoline Josefine Gudbjerg,8
24/01545,ELB2487,Sylling TRA,Hallingdal og Ringerike,NO1,Glitre Nett AS,Chemring Nobel AS,Industri,2025-03-18,2026-12-30,Heidi Hellesvik Ringstad,10
24/01601,ELB568,Fagrafjell TRA,Sør Rogaland og Agder,NO2,Lnett AS,Green Horizon AS,Datasenter,2024-06-27,2028-12-31,Arne Utne,8
24/01619,ELB100,Vang TRA,Innlandet,NO1,Elvia As,Eidsiva Bredbånd AS,Datasenter,2026-01-22,2035-12-30,Karoline Josefine Gudbjerg,10
24/01620,ELB105,Smestad TRA,"Oslo, Akershus og Østfold",NO1,Elvia As,Oslo Kommune Fornebubanen,Transport,2024-10-23,2028-06-29,Karoline Josefine Gudbjerg,6.2
24/01627,ELB479,Kjelland TRA,Sør Rogaland og Agder,NO2,Lnett AS,Kaupanes Hydrogen AS,Hydrogen/ammoniakk,2024-06-27,2027-06-30,Arne Utne,6
24/01632,ELB1178,Lindås transformatorstasjon TRA,Bergen og Haugalandet,NO5,BKK AS,EQUINOR ASA,Industri,2025-05-06,2035-12-31,Magnus Øverby Tennøe,75
24/01655,ELB64,Kolsvik KRA/TRA,Helgeland og Salten,NO4,Linea AS,Brønnøy Kalk,Transport,2025-03-12,2026-06-29,Ingvild Grøtterud Birkeland,2.5
24/01660,ELB1841,Grenland TRA,Telemark og Vestfold,NO2,Lede AS,Klingstone AS,Datasenter,2024-10-28,2026-12-30,Geir Kåsa,55
24/01713,ELB1572,Kristiansand TRA,Sør Rogaland og Agder,NO2,N01 Utilities AS,N01 Utilities AS,Datasenter,2025-05-22,2029-12-30,Arne Utne,300
24/01720,ELB472,Bærheim TRA,Sør Rogaland og Agder,NO2,Lnett AS,Kolumbus AS,Transport,2025-04-11,2026-06-29,Arne Utne,18
24/01721,ELB480,Bærheim TRA,Sør Rogaland og Agder,NO2,Lnett AS,ASP Eiendom AS,Datasenter,2024-10-16,2031-12-30,Arne Utne,8
24/01744,ELB2053,Moskog TRA,Sogn og Sunnmøre,NO3,Linja AS,Nordfjord Havn IKS,Transport,2025-11-12,2028-04-27,Hans Olav Ween,12
24/01748,ELB813,Litle Sotra TRA,Bergen og Haugalandet,NO5,BKK AS,Tresmarka AS,Transport,2025-05-06,2035-12-31,Magnus Øverby Tennøe,30
24/01755,ELB80,Marka TRA,Helgeland og Salten,NO4,Linea AS,Gen2 energy,Hydrogen/ammoniakk,2025-12-21,2028-06-29,Ingvild Grøtterud Birkeland,195
24/01756,ELB75,Marka TRA,Helgeland og Salten,NO4,Linea AS,Norsk E-fuel,Industri,2025-12-21,2028-06-29,Ingvild Grøtterud Birkeland,90
24/01770,ELB156,Tegneby TRA,"Oslo, Akershus og Østfold",NO1,Elvia As,Larkollveien 4 AS,Datasenter,2025-08-28,2027-09-29,Karoline Josefine Gudbjerg,50
24/01774,ELB1057,Ringerike TRA,Hallingdal og Ringerike,NO1,Glitre Nett AS,Stack AS,Datasenter,2025-03-20,2027-12-30,Heidi Hellesvik Ringstad,100
24/01783,ELB2930,Leirdøla (LEX) TRA,Sogn og Sunnmøre,NO5,Sygnir AS,Gaupne Utvikling AS,Datasenter,,2028-12-30,Hans Olav Ween,120
24/01801,ELB1461,Tegneby TRA,"Oslo, Akershus og Østfold",NO1,WS Computing AS,WS Computing AS,Datasenter,2026-09-06,2030-12-30,Heidi Hellesvik Ringstad,480
24/01805,ELB1063,Ringerike TRA,Hallingdal og Ringerike,NO1,Glitre Nett AS,atNorth AS,Datasenter,2025-10-09,2032-12-30,Heidi Hellesvik Ringstad,146
24/01807,ELB1062,Ringerike TRA,Hallingdal og Ringerike,NO1,Glitre Nett AS,Odin Green DC AS,Datasenter,2025-10-09,2032-12-30,Heidi Hellesvik Ringstad,150
24/01830,ELB541,Samnanger TRA,Bergen og Haugalandet,NO5,BKK AS,Eviny Fornybar AS,Annet forbruk,2026-05-26,2033-06-30,Magnus Øverby Tennøe,90
24/01869,ELB1771,Rjukan TRA,Telemark og Vestfold,NO2,Lede AS,Green Mountain AS,Datasenter,2025-02-12,2026-12-30,Geir Kåsa,33
24/01882,ELB669,Ertsmyra TS TRA,Sør Rogaland og Agder,NO2,Glitre Nett AS,Tonstad Datapark AS,Datasenter,2025-09-29,2031-06-29,Arne Utne,300
24/01886,ELB1789,Rjukan TRA,Telemark og Vestfold,NO2,Lede AS,Statkraft,Annet forbruk,2025-02-12,2030-09-29,Geir Kåsa,8
